name,political,social,age,gender
Jiří POSPÍŠIL,15.81,58.05,45,Male
Massimiliano SMERIGLIO,32.09,41.78,55,Male
Witold Jan WASZCZYKOWSKI,18.14,55.56,64,Male
Eva MAYDELL,26.05,47.47,35,Female
Beata SZYDŁO,26.51,47.02,58,Female
Evin INCIR,27.91,45.54,37,Female
João PIMENTA LOPES,49.77,23.63,41,Male
Raffaele FITTO,12.33,60.9,52,Male
Massimiliano SALINI,40.47,32.22,48,Male
Daniel FREUND,19.53,53.07,36,Male
Chris MACMANUS,24.19,48.39,48,Male
Andreas SCHWAB,29.77,42.75,48,Male
Ilana CICUREL,32.09,40.25,49,Female
Siegfried MUREŞAN,28.84,43.46,40,Male
Stelios KOULOGLOU,22.79,49.15,68,Male
Jan ZAHRADIL,18.60,53.32,58,Male
Alexandra GEESE,16.28,55.56,53,Female
Marco DREOSTO,29.30,42.54,52,Male
Sergey LAGODINSKY,17.67,53.73,45,Male
Hannah NEUMANN,19.53,51.85,37,Female
Marc TARABELLA,35.81,35.37,58,Male
David-Maria SASSOLI,11.16,59.47,65,Male
Martina DLABAJOVÁ,36.74,33.64,45,Female
Karin KARLSBRO,21.86,48.39,51,Female
Alicia HOMS GINEL,35.35,34.81,27,Female
France JAMET,17.67,52.46,60,Female
Markus FERBER,38.14,31.81,56,Male
Benoît LUTGEN,24.19,45.75,51,Male
Nacho SÁNCHEZ AMOR,33.49,36.44,61,Male
Andrea COZZOLINO,33.49,36.03,59,Male
Bartosz ARŁUKOWICZ,26.51,42.95,49,Male
Daniel BUDA,46.51,22.46,51,Male
Stanislav POLČÁK,35.81,32.98,41,Male
Lara WOLTERS,28.84,39.85,35,Female
Zbigniew KUŹMIUK,34.77,33.9,65,Male
Katrin LANGENSIEPEN,16.28,52.31,42,Female
Biljana BORZAN,36.28,32.27,49,Female
Charlie WEIMERS,2.33,66.19,38,Male
Christian EHLER,50.70,17.63,58,Male
Sven SCHULZE,40.93,27.29,42,Male
Urmas PAET,33.02,35.07,47,Male
Mauri PEKKARINEN,26.98,40.97,74,Male
Nikos ANDROULAKIS,39.07,28.86,42,Male
Patryk JAKI,19.53,47.88,36,Male
Dominik TARCZYŃSKI,19.53,47.83,42,Male
Jérôme RIVIÈRE,14.88,52.36,57,Male
Adam JARUBAS,27.91,39.19,46,Male
Damian BOESELAGER,19.53,47.37,33,Male
Jörg MEUTHEN,10.70,56.02,60,Male
Marc BOTENGA,20.93,45.69,40,Male
Tonino PICULA,43.72,22.76,60,Male
Marian-Jean MARINESCU,46.05,20.22,69,Male
Samira RAFAELA,33.95,32.22,32,Female
Bogusław LIBERADZKI,36.74,29.42,73,Male
Clare DALY,20.93,45.03,53,Female
Jean-Lin LACAPELLE,6.98,58.97,54,Male
Virginie JORON,7.91,57.9,47,Female
Sara SKYTTEDAL,12.56,53.22,35,Female
Marcel KOLAJA,18.14,47.58,41,Male
Arba KOKALARI,12.56,53.02,34,Female
Danilo Oscar LANCINI,19.07,46.41,55,Male
Andrus ANSIP,38.14,27.24,65,Male
Stéphane SÉJOURNÉ,32.09,33.19,36,Male
Nico SEMSROTT,20.47,44.58,35,Male
Lídia PEREIRA,19.53,45.24,30,Female
Inese VAIDERE,26.51,38.02,69,Female
Ivan DAVID,23.26,41.22,69,Male
Nicolas BAY,11.63,52.81,43,Male
Barry ANDREWS,30.70,33.69,54,Male
Harald VILIMSKY,10.70,53.22,55,Male
Katalin CSEH,26.98,36.95,33,Female
Nadine MORANO,10.70,53.17,57,Female
Nicola BEER,16.74,46.97,51,Female
Thijs REUTEN,25.12,38.37,47,Male
José Manuel GARCÍA-MARGALLO Y MARFIL,27.91,35.58,77,Male
Lefteris CHRISTOFOROU,27.44,35.98,58,Male
Manuel PIZARRO,51.63,11.68,57,Male
Herve JUVIN,0.93,62.32,65,Male
Piernicola PEDICINI,25.12,38.12,52,Male
Cristina MAESTRE MARTÍN DE ALMAGRO,35.81,27.29,46,Female
Tom VANDENKENDELAERE,21.86,41.22,37,Male
Eva KAILI,31.16,31.86,42,Female
Dominique BILDE,10.70,52.2,68,Female
Gabriele BISCHOFF,34.42,28.41,60,Female
Andrzej HALICKI,7.91,54.39,59,Male
Jonás FERNÁNDEZ,39.07,23.17,42,Male
Manolis KEFALOGIANNIS,32.09,30.03,62,Male
Alviina ALAMETSÄ,18.14,43.97,29,Female
Nathalie COLIN-OESTERLÉ,26.98,35.02,56,Female
Jan-Christoph OETJEN,26.51,35.42,43,Male
Angelika WINZIG,17.67,43.61,58,Female
Martin SCHIRDEWAN,14.88,46.25,46,Male
Manu PINEDA,19.53,41.58,56,Male
Eider GARDIAZABAL RUBIAL,41.86,19,46,Female
Alfred SANT,38.60,22.1,73,Male
Charles GOERENS,42.79,17.58,69,Male
Axel VOSS,27.91,32.07,58,Male
Tom BERENDSEN,27.44,32.53,38,Male
Caterina CHINNICI,38.14,21.64,66,Female
Cristian-Silviu BUŞOI,56.28,3.32,43,Male
Dorien ROOKMAKER,13.95,45.49,57,Female
Catherine GRISET,21.86,37.51,49,Female
Nora MEBAREK,26.51,32.73,49,Female
Christophe HANSEN,23.72,34.66,39,Male
Christian DOLESCHAL,34.88,23.42,33,Male
Colm MARKEY,24.65,33.54,49,Male
Salvatore DE MEO,23.26,34.86,49,Male
Irena JOVEVA,27.91,30.14,32,Female
Evelyne GEBHARDT,44.65,13.36,67,Female
Cindy FRANSSEN,12.56,45.34,45,Female
José Manuel FERNANDES,27.44,30.34,54,Male
Lukas MANDL,23.26,34.36,42,Male
Maximilian KRAH,6.05,51.39,44,Male
André ROUGÉ,0.00,57.34,59,Male
Cornelia ERNST,23.26,33.95,64,Female
Bart GROOTHUIS,25.12,32.07,40,Male
Sergio BERLATO,30.70,26.47,62,Male
Francisco José MILLÁN MON,33.02,24.14,66,Male
Deirdre CLUNE,23.26,33.8,62,Female
Anna FOTYGA,25.12,31.61,64,Female
Mario FURORE,26.98,29.68,32,Male
Grzegorz TOBISZOWSKI,28.14,28.15,55,Male
