last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
LEXMANN,Miriam,Group of the European People's Party (Christian Democrats),Slovakia,@MiriamMLex,1.42,15.92,9
LEGA,David,Group of the European People's Party (Christian Democrats),Sweden,@DavidLega,11.7,5.31,9
KUBILIUS,Andrius,Group of the European People's Party (Christian Democrats),Lithuania,@AndriusKubilius,0,16.98,8
GEMMA,Chiara,Non-attached Members,Italy,@chgemma68,0,16.98,8
BALDASSARRE,Simona,Identity and Democracy Group,Italy,@SR_Baldassarre,0,16.98,8
FALCĂ,Gheorghe,Group of the European People's Party (Christian Democrats),Romania,@gfalca,0,16.98,8
KOVATCHEV,Andrey,Group of the European People's Party (Christian Democrats),Bulgaria,@andreykovatchev,0,16.98,8
HAKKARAINEN,Teuvo,Identity and Democracy Group,Finland,,0,16.98,8
MAYER,Georg,Identity and Democracy Group,Austria,@georgmayermep,0,16.98,8
JUKNEVIČIENĖ,Rasa,Group of the European People's Party (Christian Democrats),Lithuania,@RJukneviciene,7.24,9.55,8
VINCZE,Loránt,Group of the European People's Party (Christian Democrats),Romania,@vinczelorant,6.41,9.55,8
LÓPEZ GIL,Leopoldo,Group of the European People's Party (Christian Democrats),Spain,@LeopoldoLopezg,0,15.92,8
MOLNÁR,Csaba,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Hungary,,0,15.92,8
PATRICIELLO,Aldo,Group of the European People's Party (Christian Democrats),Italy,@PatricielloAldo,0,15.92,8
TUDORACHE,Dragoş,Renew Europe Group,Romania,@IoanDragosT,0,15.92,8
PÎSLARU,Dragoș,Renew Europe Group,Romania,@dragos_pislaru,0,15.92,8
VOLLATH,Bettina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Austria,,0,15.92,8
SIMON,Sven,Group of the European People's Party (Christian Democrats),Germany,,0,15.92,8
ARA-KOVÁCS,Attila,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Hungary,@AraKovacs,0,15.92,8
DÜPONT,Lena,Group of the European People's Party (Christian Democrats),Germany,@LenaDuepontMdEP,0,15.92,8
DUDA,Jarosław,Group of the European People's Party (Christian Democrats),Poland,@JaroslawDuda,4.74,10.61,8
PETER-HANSEN,Kira Marie,Group of the Greens/European Free Alliance,Denmark,@Kira_MP,0,15.12,8
ESTARÀS FERRAGUT,Rosa,Group of the European People's Party (Christian Democrats),Spain,@rosaestaras,0,14.85,7
KEMPA,Beata,European Conservatives and Reformists Group,Poland,@BeataKempa_MEP,0,14.85,7
SCHIRDEWAN,Martin,Group of the European United Left - Nordic Green Left,Germany,,0,14.85,7
GRAPINI,Maria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,@MariaGrapini,0,14.85,7
CAROPPO,Andrea,Identity and Democracy Group,Italy,@caroppo_andrea,0,14.85,7
SOKOL,Tomislav,Group of the European People's Party (Christian Democrats),Croatia,,0,14.85,7
BĂSESCU,Traian,Group of the European People's Party (Christian Democrats),Romania,@tbasescu,0,14.85,7
BUSCHMANN,Martin,Non-attached Members,Germany,@bBschmannMartin,0,14.85,7
ČÍŽ,Miroslav,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Slovakia,,0,14.85,7
BOTOŞ,Vlad-Marius,Renew Europe Group,Romania,@VladMarius88,0,14.85,7
KOKALARI,Arba,Group of the European People's Party (Christian Democrats),Sweden,@ArbaKokalari,7.19,7.43,7
CASANOVA,Massimo,Identity and Democracy Group,Italy,@MassimoCasanov3,0,13.79,7
MAXOVÁ,Radka,Renew Europe Group,Czechia,@radkamaxova,0,13.79,7
SLABAKOV,Andrey,European Conservatives and Reformists Group,Bulgaria,,0,13.79,7
MILAZZO,Giuseppe,Group of the European People's Party (Christian Democrats),Italy,@giuseppemilaz11,0,13.79,7
NISTOR,Gheorghe-Vlad,Group of the European People's Party (Christian Democrats),Romania,,0,13.79,7
JURZYCA,Eugen,European Conservatives and Reformists Group,Slovakia,@EugenJurzyca,0,13.79,7
HAIDER,Roman,Identity and Democracy Group,Austria,,0,13.79,7
KOVAŘÍK,Ondřej,Renew Europe Group,Czechia,@OKovarikMEP,0,13.79,7
ROOKEN,Rob,European Conservatives and Reformists Group,Netherlands,@rooken,0,13.79,7
FRANZ,Romeo,Group of the Greens/European Free Alliance,Germany,@RomeoFranz1,1.58,11.67,7
ZARZALEJOS,Javier,Group of the European People's Party (Christian Democrats),Spain,@FZarzalejos,0.16,12.73,6
MANDA,Claudiu,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,@Claudiu_Manda,0,12.73,6
LUNDGREN,Peter,European Conservatives and Reformists Group,Sweden,,0,12.73,6
