last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
TARABELLA,Marc,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Belgium,@marctarabella,30.43,23.34,27
BERLATO,Sergio,European Conservatives and Reformists Group,Italy,@SERGIOBERLATO,20.8,32.89,27
DALY,Clare,Group of the European United Left - Nordic Green Left,Ireland,@ClareDalyMEP,38.75,14.85,27
WASZCZYKOWSKI,Witold Jan,European Conservatives and Reformists Group,Poland,@WaszczykowskiW,37.67,15.92,27
KYMPOUROPOULOS,Stelios,Group of the European People's Party (Christian Democrats),Greece,@Kympouropoulos,35.29,18.04,27
SIKORSKI,Radosław,Group of the European People's Party (Christian Democrats),Poland,@sikorskiradek,43.54,9.55,27
OMARJEE,Younous,Group of the European United Left - Nordic Green Left,France,@younousomarjee,0,53.05,27
KREHL,Constanze,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@ConstanzeKrehl,0,53.05,27
YONCHEVA,Elena,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgaria,@elyoncheva,44.26,8.49,26
SCHULZE,Sven,Group of the European People's Party (Christian Democrats),Germany,@schulzeeuropa,14.5,38.2,26
LØKKEGAARD,Morten,Renew Europe Group,Denmark,@Loekkegaard_MEP,37.82,14.85,26
PINEDA,Manu,Group of the European United Left - Nordic Green Left,Spain,@Manu_Abu_Carlos,38.56,13.79,26
CHARANZOVÁ,Dita,Renew Europe Group,Czechia,@charanzova,32.12,20.16,26
DALLI,Miriam,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Malta,@Miriamdalli,0,52.25,26
TOMAŠEVSKI,Valdemar,European Conservatives and Reformists Group,Lithuania,@ed_valdemar,27.42,24.4,26
METSOLA,Roberta,Group of the European People's Party (Christian Democrats),Malta,@RobertaMetsola,38.01,13.79,26
FERNÁNDEZ,Jonás,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@jonasfernandez,20.74,31.03,26
KÖRNER,Moritz,Renew Europe Group,Germany,@moritzkoerner,38.92,12.73,26
ARVANITIS,Konstantinos,Group of the European United Left - Nordic Green Left,Greece,@kostarvanitis,37.72,13.79,26
BORCHIA,Paolo,Identity and Democracy Group,Italy,@PaoloBorchia,32.39,19.1,26
NOVAK,Ljudmila,Group of the European People's Party (Christian Democrats),Slovenia,@LjudmilaNovak,21.59,29.71,26
DELI,Andor,Group of the European People's Party (Christian Democrats),Hungary,@AndorDeli,24.55,26.53,26
RIVIÈRE,Jérôme,Identity and Democracy Group,France,@jerome_riviere,38.07,12.73,25
BARTOLO,Pietro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@bartolopietro1,19.88,30.77,25
LANGENSIEPEN,Katrin,Group of the Greens/European Free Alliance,Germany,@k_langensiepen,38.94,11.67,25
TAX,Vera,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Netherlands,@Vera_Tax,25.07,25.46,25
JOVEVA,Irena,Renew Europe Group,Slovenia,@IJoveva,28.9,21.22,25
PEREIRA,Lídia,Group of the European People's Party (Christian Democrats),Portugal,@lidiafopereira,31.93,18.04,25
ANDREWS,Barry,Renew Europe Group,Ireland,@BarryAndrewsMEP,24.26,25.46,25
ERNST,Cornelia,Group of the European United Left - Nordic Green Left,Germany,@ErnstCornelia,34.5,14.85,25
POLFJÄRD,Jessica,Group of the European People's Party (Christian Democrats),Sweden,@jessicapolfjard,29.1,20.16,25
JUVIN,Herve,Identity and Democracy Group,France,@HerveJuvin,46.88,2.12,24
SKYTTEDAL,Sara,Group of the European People's Party (Christian Democrats),Sweden,@skyttedal,38.3,10.61,24
CLUNE,Deirdre,Group of the European People's Party (Christian Democrats),Ireland,@DeirdreCluneMEP,22.18,26.53,24
DANTI,Nicola,Renew Europe Group,Italy,@DantiNicola,11.52,37.14,24
TOBISZOWSKI,Grzegorz,European Conservatives and Reformists Group,Poland,@tobiszowski,25.2,23.34,24
KANEV,Radan,Group of the European People's Party (Christian Democrats),Bulgaria,@rmkanev,32.18,16.18,24
ZDECHOVSKÝ,Tomáš,Group of the European People's Party (Christian Democrats),Czechia,@TomasZdechovsky,35.58,12.73,24
KONEČNÁ,Kateřina,Group of the European United Left - Nordic Green Left,Czechia,@Konecna_K,22.76,25.46,24
SCHREIJER-PIERIK,Annie,Group of the European People's Party (Christian Democrats),Netherlands,@AnnieSchreijer,0,47.75,24
KOULOGLOU,Stelios,Group of the European United Left - Nordic Green Left,Greece,@SteliosKoul,31.77,15.92,24
VAN SPARRENTAK,Kim,Group of the Greens/European Free Alliance,Netherlands,@kimvsparrentak,34.54,12.73,24
COZZOLINO,Andrea,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@cozzolino62,11.17,36.07,24
RANGEL,Paulo,Group of the European People's Party (Christian Democrats),Portugal,@PauloRangel_pt,29.18,18.04,24
SØGAARD-LIDELL,Linea,Renew Europe Group,Denmark,@LineaLidell,21.17,25.46,23
ROUGÉ,André,Identity and Democracy Group,France,@AndreRougeOff,39.83,6.37,23
DONÁTH,Anna Júlia,Renew Europe Group,Hungary,@donath_anna,30.24,15.92,23
DURÁ FERRANDIS,Estrella,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@estrella_dura,18.56,27.59,23
DANIELSSON,Johan,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,@johandanielsson,0,45.89,23
OCHOJSKA,Janina,Group of the European People's Party (Christian Democrats),Poland,@JaninaOchojska,43.31,2.12,23
HOHLMEIER,Monika,Group of the European People's Party (Christian Democrats),Germany,@MHohlmeier,18.81,26.53,23
MILLÁN MON,Francisco José,Group of the European People's Party (Christian Democrats),Spain,@PacoMillanMon,15.55,29.71,23
PAGAZAURTUNDÚA,Maite,Renew Europe Group,Spain,@maitepagaza,21.87,23.34,23
CERDAS,Sara,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,@sara_saracerdas,3.71,41.38,23
REGNER,Evelyn,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Austria,@Evelyn_Regner,19.5,25.46,22
MATO,Gabriel,Group of the European People's Party (Christian Democrats),Spain,@GabrielMatoA,6.74,38.2,22
TOMC,Romana,Group of the European People's Party (Christian Democrats),Slovenia,@RomanaTomc,26.42,18.04,22
UŠAKOVS,Nils,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Latvia,@nilsusakovs,32.69,11.67,22
GOERENS,Charles,Renew Europe Group,Luxembourg,@CharlesGoerens,11.13,32.89,22
WEIMERS,Charlie,European Conservatives and Reformists Group,Sweden,@weimers,36.55,7.43,22
WARBORN,Jörgen,Group of the European People's Party (Christian Democrats),Sweden,@jorgenwarborn,34.52,8.49,22
POLČÁK,Stanislav,Group of the European People's Party (Christian Democrats),Czechia,@stanislavpolcak,19.51,23.34,21
GREGOROVÁ,Markéta,Group of the Greens/European Free Alliance,Czechia,@MarketkaG,31.06,11.67,21
ANDRIEU,Eric,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,@Eric_Andrieu,0,42.71,21
ZOVKO,Željana,Group of the European People's Party (Christian Democrats),Croatia,@ZovkoEU,23.58,19.1,21
DOLESCHAL,Christian,Group of the European People's Party (Christian Democrats),Germany,@Doleschal,11.47,30.77,21
HETMAN,Krzysztof,Group of the European People's Party (Christian Democrats),Poland,@Hetman_K,15.62,26.53,21
PIZARRO,Manuel,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,@MPizarroPorto,4.96,37.14,21
FLEGO,Valter,Renew Europe Group,Croatia,@ValterFlego,17.7,24.4,21
BRGLEZ,Milan,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Slovenia,@milan_brglez,28.21,13.79,21
JAKI,Patryk,European Conservatives and Reformists Group,Poland,@PatrykJaki,28.01,13.79,21
VON CRAMON-TAUBADEL,Viola,Group of the Greens/European Free Alliance,Germany,@ViolavonCramon,31.05,10.61,21
MONTEIRO DE AGUIAR,Cláudia,Group of the European People's Party (Christian Democrats),Portugal,@cmonteiroaguiar,0.21,41.38,21
KAILI,Eva,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Greece,@EvaKaili,24.55,16.98,21
EHLER,Christian,Group of the European People's Party (Christian Democrats),Germany,@ChristianEhler,0,41.38,21
NEGRESCU,Victor,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,@negrescuvictor,15.88,25.46,21
JAMET,France,Identity and Democracy Group,France,@FranceJamet,26.4,14.85,21
RZOŃCA,Bogdan,European Conservatives and Reformists Group,Poland,@Bogdan_Rzonca,22.09,19.1,21
FOURLAS,Loucas,Group of the European People's Party (Christian Democrats),Cyprus,@loucas_fourlas,28.05,12.73,20
WOLTERS,Lara,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Netherlands,@larawoltersEU,20.6,20.16,20
DLABAJOVÁ,Martina,Renew Europe Group,Czechia,@Mdlabajova,12.01,28.65,20
LAGODINSKY,Sergey,Group of the Greens/European Free Alliance,Germany,@SLagodinsky,30.04,10.61,20
LAPORTE,Hélène,Identity and Democracy Group,France,@HeleneLaporteRN,35.31,5.31,20
ANGEL,Marc,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Luxembourg,@MarcAngel_lu,21.39,19.1,20
AMARO,Álvaro,Group of the European People's Party (Christian Democrats),Portugal,@alvaroamaroEU,0,40.32,20
LÓPEZ-ISTÚRIZ WHITE,Antonio,Group of the European People's Party (Christian Democrats),Spain,@TonoEPP,18.03,22.28,20
del CASTILLO VERA,Pilar,Group of the European People's Party (Christian Democrats),Spain,@delcastillop,16.58,23.34,20
BUCHHEIT,Markus,Identity and Democracy Group,Germany,@BuchheitMarkus,26.78,12.73,20
SIDL,Günther,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Austria,,0,39.26,20
FOTYGA,Anna,European Conservatives and Reformists Group,Poland,@AnnaFotyga_PE,19.06,20.16,20
KOPCIŃSKA,Joanna,European Conservatives and Reformists Group,Poland,@j_kopcinska,11.57,27.59,20
KYUCHYUK,Ilhan,Renew Europe Group,Bulgaria,@ilhankyuchyuk,19.68,19.1,19
CIMOSZEWICZ,Włodzimierz,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Poland,@tcimoszewicz,13.05,25.46,19
YENBOU,Salima,Group of the Greens/European Free Alliance,France,@salima_yenbou,27.79,10.61,19
LUTGEN,Benoît,Group of the European People's Party (Christian Democrats),Belgium,@BenoitLutgen,25.11,12.73,19
JAHR,Peter,Group of the European People's Party (Christian Democrats),Germany,@peter_jahr,3.78,33.95,19
CONTE,Rosanna,Identity and Democracy Group,Italy,@Rosannaconte_,8.8,28.65,19
BRUDZIŃSKI,Joachim Stanisław,European Conservatives and Reformists Group,Poland,@jbrudzinski,23.6,13.79,19
GADE,Søren,Renew Europe Group,Denmark,@SoerenGade,2.35,35.01,19
KNOTEK,Ondřej,Renew Europe Group,Czechia,@KnotekOndrej,0,37.14,19
VANA,Monika,Group of the Greens/European Free Alliance,Austria,@MonikaVana,0,37.14,19
REGIMENTI,Luisa,Identity and Democracy Group,Italy,@luisaregimenti,24.2,12.73,18
CREȚU,Corina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,@CorinaCretuEU,9.63,26.53,18
COMÍN I OLIVERES,Antoni,Non-attached Members,Spain,@toni_comin,30.74,5.31,18
BARRENA ARZA,Pernando,Group of the European United Left - Nordic Green Left,Spain,@pernandobarrena,23.29,12.73,18
CASA,David,Group of the European People's Party (Christian Democrats),Malta,@DavidCasaMEP,18.83,16.98,18
NIEDERMAYER,Luděk,Group of the European People's Party (Christian Democrats),Czechia,@LudekNie,22.86,12.73,18
LENAERS,Jeroen,Group of the European People's Party (Christian Democrats),Netherlands,@jeroen_lenaers,14.17,21.22,18
RESSLER,Karlo,Group of the European People's Party (Christian Democrats),Croatia,@KarloRessler,16.25,19.1,18
NICA,Dan,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,,0,35.28,18
BIJOUX,Stéphane,Renew Europe Group,France,@stephaneBIJOUX,0,35.28,18
WIENER,Sarah,Group of the Greens/European Free Alliance,Austria,,0,35.28,18
FIOCCHI,Pietro,European Conservatives and Reformists Group,Italy,@FiocchiPietro,10.82,24.4,18
KALJURAND,Marina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Estonia,@MarinaKaljurand,27.73,7.43,18
DELBOS-CORFIELD,Gwendoline,Group of the Greens/European Free Alliance,France,@GDelbosCorfield,22.41,12.73,18
DEMIREL,Özlem,Group of the European United Left - Nordic Green Left,Germany,@OezlemADemirel,24.42,10.61,18
HERBST,Niclas,Group of the European People's Party (Christian Democrats),Germany,,0,35.01,18
GYÜRK,András,Group of the European People's Party (Christian Democrats),Hungary,@laszloan,3.74,30.77,17
GARCÍA-MARGALLO Y MARFIL,José Manuel,Group of the European People's Party (Christian Democrats),Spain,@MargalloJm,8.93,25.46,17
FERREIRA,João,Group of the European United Left - Nordic Green Left,Portugal,@joao_ferreira33,1.25,32.89,17
McALLISTER,David,Group of the European People's Party (Christian Democrats),Germany,@davidmcallister,16.02,18.04,17
ZALEWSKA,Anna,European Conservatives and Reformists Group,Poland,@AnnaZalewskaMEP,0,33.95,17
BERGKVIST,Erik,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,@erik_bergkvist,0,33.95,17
GEBHARDT,Evelyne,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@egebhardtMdEP,0,33.95,17
BALT,Marek Paweł,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Poland,@PoselBalt,10.5,23.34,17
CECCARDI,Susanna,Identity and Democracy Group,Italy,@SusannaCeccardi,25.26,8.49,17
SEMEDO,Monica,Renew Europe Group,Luxembourg,@MonicaSemedoLux,7.22,26.53,17
SCHREINEMACHER,Liesje,Renew Europe Group,Netherlands,@LSchreinemacher,14.55,19.1,17
SMERIGLIO,Massimiliano,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@maxsmeriglio,10.95,22.28,17
WALSMANN,Marion,Group of the European People's Party (Christian Democrats),Germany,@MarionWalsmann,14.1,19.1,17
PENKOVA,Tsvetelina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgaria,@tsvetypenkova,10.7,22.28,16
CHINNICI,Caterina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@CaterinaChinnic,3.25,29.71,16
KOLAJA,Marcel,Group of the Greens/European Free Alliance,Czechia,@PiratKolaja,23.4,9.55,16
ŠIMEČKA,Michal,Renew Europe Group,Slovakia,@MSimecka,15.91,16.98,16
GROOTHUIS,Bart,Renew Europe Group,Netherlands,@bgroothuis,8.98,23.34,16
SIPPEL,Birgit,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@BirgitSippelMEP,7.82,24.4,16
ROPĖ,Bronis,Group of the Greens/European Free Alliance,Lithuania,@BronisRopeLT,0,31.83,16
NIENASS,Niklas,Group of the Greens/European Free Alliance,Germany,@niklasnienass,0,31.83,16
OETJEN,Jan-Christoph,Renew Europe Group,Germany,@jcoetjen,10.48,21.22,16
MACMANUS,Chris,Group of the European United Left - Nordic Green Left,Ireland,@MacManusChris,4.96,26.53,16
TOMAŠIĆ,Ruža,European Conservatives and Reformists Group,Croatia,@RuzaTomasic,0,31.3,16
AUŠTREVIČIUS,Petras,Renew Europe Group,Lithuania,@petras_petras,2.63,28.65,16
MATIĆ,Predrag Fred,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Croatia,@fred_matic,6.78,24.4,16
WINKLER,Iuliu,Group of the European People's Party (Christian Democrats),Romania,@IuliuWinkler,18.4,12.73,16
ŠOJDROVÁ,Michaela,Group of the European People's Party (Christian Democrats),Czechia,@msojdrova,19.37,11.67,16
MEIMARAKIS,Vangelis,Group of the European People's Party (Christian Democrats),Greece,@v_meimarakis,15.01,15.92,15
SCHMIEDTBAUER,Simone,Group of the European People's Party (Christian Democrats),Austria,,0,30.77,15
MOTREANU,Dan-Ștefan,Group of the European People's Party (Christian Democrats),Romania,@Dan_Motreanu,0,30.77,15
GARCÍA MUÑOZ,Isabel,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@isagarmu,0,30.77,15
STRIK,Tineke,Group of the Greens/European Free Alliance,Netherlands,@Tineke_Strik,18.94,11.67,15
YON-COURTIN,Stéphanie,Renew Europe Group,France,@s_yoncourtin,0,29.97,15
PLUMB,Rovana,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,@RovanaPlumbMM,3.09,26.79,15
HRISTOV,Ivo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgaria,@IvoHristovMEP,0.12,29.71,15
TOVAGLIERI,Isabella,Identity and Democracy Group,Italy,@isatovaglieri,20.23,9.55,15
LIZZI,Elena,Identity and Democracy Group,Italy,@elenalizzi,21.28,8.49,15
NEUSER,Norbert,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,,0,29.71,15
WIELAND,Rainer,Group of the European People's Party (Christian Democrats),Germany,,0,29.71,15
BLINKEVIČIŪTĖ,Vilija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lithuania,,0,29.71,15
KAMMEREVERT,Petra,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,,0,29.71,15
GROŠELJ,Klemen,Renew Europe Group,Slovenia,@KGroselj,13.66,15.92,15
KLOC,Izabela-Helena,European Conservatives and Reformists Group,Poland,@IzabelaKloc,10.22,19.1,15
BOYER,Gilles,Renew Europe Group,France,@GillesBoyer,0,28.91,14
CHRISTOFOROU,Lefteris,Group of the European People's Party (Christian Democrats),Cyprus,@LefChristoforou,1.2,27.59,14
GARRAUD,Jean-Paul,Identity and Democracy Group,France,@JPGarraud,26.58,2.12,14
SÁNCHEZ AMOR,Nacho,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@NachoSAmor,6.38,22.28,14
GIESEKE,Jens,Group of the European People's Party (Christian Democrats),Germany,,0,28.65,14
D'AMATO,Rosa,Non-attached Members,Italy,@rosadamato634,0,28.65,14
MOŻDŻANOWSKA,Andżelika Anna,European Conservatives and Reformists Group,Poland,,0,28.65,14
USPASKICH,Viktor,Renew Europe Group,Lithuania,@ViktorUspaskich,0,28.65,14
ZAGORAKIS,Theodoros,Group of the European People's Party (Christian Democrats),Greece,,0,28.65,14
RÓNAI,Sándor,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Hungary,@sandor_ronai,0,28.65,14
LEGUTKO,Ryszard Antoni,European Conservatives and Reformists Group,Poland,@RyszardLegutko,0,28.65,14
TERRAS,Riho,Group of the European People's Party (Christian Democrats),Estonia,@RihoTerras,0,28.65,14
GAHLER,Michael,Group of the European People's Party (Christian Democrats),Germany,@michaelgahler,0,28.65,14
MAŽYLIS,Liudas,Group of the European People's Party (Christian Democrats),Lithuania,,0,28.65,14
ALFONSI,François,Group of the Greens/European Free Alliance,France,@F_Alfonsi,0,28.65,14
BENJUMEA BENJUMEA,Isabel,Group of the European People's Party (Christian Democrats),Spain,@IsabelBenjumea,0,28.65,14
DREOSTO,Marco,Identity and Democracy Group,Italy,@MarcoDreosto,3.09,25.46,14
VRECIONOVÁ,Veronika,European Conservatives and Reformists Group,Czechia,@vrecionova,12.31,15.92,14
EROGLU,Engin,Renew Europe Group,Germany,@EnginEroglu_FW,23.71,4.24,14
ALAMETSÄ,Alviina,Group of the Greens/European Free Alliance,Finland,@alviinaalametsa,0,27.85,14
GUETTA,Bernard,Renew Europe Group,France,@Bernardguetta,0,27.85,14
ALIEVA-VELI,Atidzhe,Renew Europe Group,Bulgaria,@AtidzheV,3.37,24.4,14
BILČÍK,Vladimír,Group of the European People's Party (Christian Democrats),Slovakia,@VladoBilcik,20.33,7.43,14
RONDINELLI,Daniela,Non-attached Members,Italy,@Dani_Rondinelli,15.96,11.67,14
LEITÃO-MARQUES,Maria-Manuel,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,@LeitaoMarquesep,0,27.59,14
SCHNEIDER,Christine,Group of the European People's Party (Christian Democrats),Germany,@ChSchneider,0,27.59,14
WAITZ,Thomas,Group of the Greens/European Free Alliance,Austria,,0,27.59,14
